WORDS,START,END,CONFIDENCE
new,355.74,355.91,0.349056
to(3),355.92,355.97,0.016576
science,355.98,356.61,0.342075
so,357.78,357.9,0.773655
that's,357.91,358.09,0.115689
my,358.1,358.19,0.161765
formula,358.2,358.58,0.688635
for(2),358.59,358.71,0.719328
fighting,358.72,359.04,0.093633
dinosaurs,359.05,359.58,0.948184
and,359.59,359.77,0.236084
apply,359.78,360.1,0.403046
it,360.11,360.39,0.138328
all,360.4,360.71,0.994614
around(2),360.72,360.91,0.980883
the,360.92,360.98,0.865008
world,360.99,361.35,0.9993
in,361.93,362.02,0.323573
the(2),362.03,362.12,0.618625
austral,362.13,362.51,0.984125
summer,362.52,362.96,0.9997
of,362.97,363.06,0.753344
two,363.07,363.31,0.9998
thousand(2),363.32,363.72,0.609719
four,363.73,364.1,0.782369
i,364.33,364.43,0.085104
went,364.44,364.58,0.02999
to(3),364.59,364.65,0.112652
the,364.66,364.73,0.995908
bottom,364.74,365.12,0.993918
of,365.13,365.18,0.896271
south,365.19,365.47,0.908908
america(2),365.48,365.88,0.636703
to(2),365.89,366.03,0.931082
the,366.04,366.13,0.784249
bottom,366.14,366.51,0.9993
of,366.52,366.6,0.638297
patagonia,366.7,367.28,0.977162
argentina,367.29,367.98,0.992726
the,368.36,368.46,0.860521
prospect,368.47,369.13,0.800815
for(2),369.14,369.27,0.658133
dinosaurs,369.28,369.99,0.9999
a,370.65,370.71,0.137528
place,370.72,370.99,0.569917
that(2),371,371.1,0.361998
had,371.11,371.28,0.561038
terrestrial,371.29,371.91,0.800735
sedimentary,371.92,372.56,0.997902
rocks,372.57,372.89,0.990346
in,372.9,372.96,0.155655
the,372.97,373.03,0.578357
right,373.04,373.26,0.77234
age,373.27,373.64,0.763508
in,374.08,374.21,0.931268
a,374.22,374.28,0.243445
desert,374.29,374.65,0.956184
a,375.22,375.3,0.284323
place,375.31,375.56,0.515831
that(2),375.57,375.69,0.072985
had,375.7,375.84,0.128898
been,375.85,376.05,0.729106
barely,376.06,376.64,0.618192
visited,376.65,377.03,0.892871
by,377.04,377.15,0.855116
a(2),377.16,377.2,0.196246
paleontologist,377.21,378.26,0.805715
we,379.21,379.37,0.999
found,379.38,379.7,0.998601
us,379.71,380.06,0.210561
this,381.2,381.37,0.706777
is,381.38,381.47,0.687466
a,381.48,381.53,0.644841
theme,381.54,381.97,0.074259
and,381.98,382.29,0.1821
i've,382.3,382.53,0.116992
got,382.54,382.79,0.03345
amid,383.37,383.66,0.002633
giant,383.67,384.26,0.998701
planet,384.4,384.83,0.303389
eating,384.84,385.16,0.025387
dinosaurs,385.17,385.72,0.12773
backbone,385.73,386.43,0.113852
is,386.44,386.63,0.55891
two,386.64,386.89,0.562161
point,386.9,387.3,1.0003
two,387.31,387.5,0.997802
meters,387.51,388.12,0.242376
across,388.13,388.6,0.991932
that's,388.61,388.83,0.034017
over,388.84,389.03,0.231524
seven,389.04,389.59,0.861985
feet,389.6,389.97,0.873527
long,389.98,390.39,0.985307
known,391.85,392.08,0.110123
for(2),392.09,392.23,0.306653
delay,392.24,392.59,0.026043
that,392.6,392.81,0.356679
on(2),392.82,393.02,0.676959
was(2),393.03,393.41,0.995808
isolated,393.46,393.94,0.997403
we,393.95,394.05,0.846437
dog,394.06,394.33,0.001995
and,394.34,394.44,0.24194
duck,394.45,394.65,0.00127
and(2),394.66,394.77,0.304392
dive,394.78,395.15,0.003229
to(3),395.77,395.9,0.024489
one,395.91,396.11,0.354829
another,396.12,396.41,0.857943
go,396.42,396.57,0.412837
around,396.58,397.07,0.422612
and,397.08,397.24,0.16933
it,397.25,397.33,0.167981
is,397.34,397.45,0.292017
hungry,397.46,397.88,0.437055
to(3),397.89,397.99,0.462416
go,398,398.13,0.985307
back,398.14,398.37,0.998701
the,398.38,398.44,0.483461
next,398.45,398.75,0.9989
year,398.76,398.89,0.965602
for(2),398.9,399.06,0.67845
more,399.07,399.39,0.998002
than,399.69,399.81,0.963576
on(2),399.82,399.91,0.398875
the,399.92,399.98,0.892782
first,399.99,400.36,0.998801
day,400.37,400.58,0.798096
that,400.59,400.77,0.780025
next(2),400.78,401.1,0.61517
field,401.11,401.33,0.135155
season,401.34,401.81,0.301092
i,402.39,402.46,0.429816
found,402.47,402.74,0.998701
this,402.75,403.12,0.770643
another,403.72,404.13,0.659517
to,404.14,404.37,0.701074
me,404.38,404.5,0.734742
your(2),404.51,404.63,0.766799
femur,404.64,405.05,0.037738
only,405.73,406.01,0.012915
this,406.02,406.2,0.101757
time,406.21,406.58,0.062636
not,406.59,406.84,0.9989
isolated(2),406.85,407.41,0.531595
this,407.42,407.63,0.748538
time,407.64,407.94,0.759852
associate(4),407.95,408.53,0.391955
with,408.54,408.7,0.984322
a,408.71,408.76,0.423755
hundred(4),408.77,409.16,0.820597
and,409.17,409.29,0.699184
forty,409.3,409.6,0.9991
five,409.61,409.87,0.9991
other,409.99,410.2,0.935281
bones,410.21,410.61,0.947047
of,410.62,410.7,0.781196
that(2),410.71,410.94,0.07672
giant,410.95,411.51,0.986787
funnier,411.52,412.1,0.006122
after,413.21,413.55,0.777844
three,413.56,413.84,0.997204
more,413.85,414.11,0.9999
heart,414.12,414.63,0.773577
really,414.64,415.03,0.734522
brutal,415.04,415.67,0.98511
field,415.92,416.15,0.104699
seasons,416.16,416.7,0.424179
the,416.71,417.28,0.539846
clarita,417.29,417.9,0.2146
to(3),417.91,418.02,0.44189
look,418.03,418.28,0.936686
like,418.29,418.5,0.9999
this,418.51,418.98,0.975892
and(2),419.64,419.78,0.753043
they're,419.79,419.93,0.207883
easy,419.94,420.26,0.570601
to(2),420.27,420.35,0.283216
to(2),420.36,420.58,0.497838
outback,420.59,421.08,0.060149
great,421.09,421.61,0.706565
beast,421.62,422.05,0.202506
wrapping,422.06,422.56,0.502138
around(2),422.57,422.93,0.705082
me,422.94,423.17,0.090566
and(2),423.77,423.93,0.772881
that(2),423.94,424.17,0.166459
giant,424.18,424.77,0.901395
that(2),424.78,424.92,0.035208
way,424.93,425.13,0.299351
in,425.14,425.2,0.237007
his,425.21,425.42,0.113921
grave,425.43,425.76,0.148834
in,425.77,425.87,0.523156
new,425.88,426.01,0.658791
species,426.02,426.48,0.997403
of,426.49,426.6,0.99362
dinosaur,426.61,427.27,1
we,427.28,427.39,0.97258
would,427.4,427.53,0.964058
eventually(2),427.54,428.01,0.960881
call,428.02,428.49,0.131252
dread,428.78,429.11,0.029182
not,429.12,429.34,0.653803
us,429.35,429.73,0.175678
track,430.15,430.64,0.356429
then,431.52,431.73,0.024874
honest,431.74,432.01,0.042661
with,432.02,432.38,0.783622
the(2),432.39,432.64,0.653738
five,432.65,432.97,0.485156
seasons,432.98,433.55,0.641946
now,433.56,433.75,0.217474
the,433.76,433.89,0.029549
tail,433.9,434.29,0.005318
it,435.03,435.17,0.051672
stood,435.18,435.65,0.021061
who,435.66,435.89,0.309117
may,435.9,436,0.378548
have,436.01,436.22,0.848217
stories,436.23,436.72,0.998401
of,436.73,436.79,0.938749
the,436.8,436.89,1.0001
shoulder,436.9,437.42,0.956853
and(2),438.06,438.25,0.319202
all,438.26,438.41,0.085002
flushed,438.42,438.82,0.041629
out,438.83,438.99,0.098169
in,439,439.11,0.377225
life,439.12,439.54,0.932573
the(2),439.86,439.95,0.112225
way,439.96,440.19,0.776756
to(2),440.2,440.25,0.543041
sixty,440.26,440.89,0.97726
five,440.9,441.42,0.9989
times,441.43,442.17,0.579689
the(2),443.21,443.32,0.188455
glass,443.33,443.67,0.02757
is,443.68,443.78,0.136924
sometimes,443.79,444.2,0.246434
with(2),444.21,444.36,0.114939
dread,444.37,444.58,0.009186
not,444.59,444.77,0.691258
as(2),444.78,444.9,0.351017
big,444.91,445.08,0.232383
of,445.09,445.19,0.155297
an(2),445.2,445.29,0.00202
a,445.3,445.36,0.382238
t,445.37,445.59,0.837344
rex,445.6,446.1,0.837595
that's,446.11,447.09,0.529314
the,447.1,447.16,0.584755
massive,447.17,447.67,0.523889
eight,447.83,448.02,0.006984
or(2),448.03,448.09,0.05455
ninety,448.1,448.7,0.646068
rats,448.71,449.2,0.106282
one(2),450.7,450.9,0.053759
of,450.91,450.96,0.123719
the,450.97,451.03,0.041913
really,451.04,451.25,0.39082
cool,451.26,451.43,0.529367
things,451.44,451.67,0.908272
about,451.68,451.86,0.83009
the(2),451.87,451.98,0.471335
appellate(2),451.99,452.45,0.024654
how,452.46,452.69,0.061003
does(2),452.7,452.96,0.027293
this,452.97,453.15,0.098572
when(4),453.16,453.29,0.372874
you,453.3,453.4,0.998601
find,453.41,453.75,0.986787
a(2),453.76,453.78,0.321541
new,453.79,453.92,0.612959
species,453.93,454.62,0.9995
you,454.97,455.08,0.994713
get(2),455.09,455.28,0.495206
in,455.29,455.41,0.196658
and(2),455.42,455.73,0.59998
an,456.55,456.7,0.036251
all,456.71,456.89,0.336208
boys,456.9,457.26,0.769488
are,457.27,457.35,0.626094
unashamedly,457.36,458.24,0.945438
giant,458.25,458.89,0.995111
plenty(2),459.09,459.47,0.034301
being,459.48,459.67,0.007881
dinosaurs,459.68,460.38,1.0001
are,460.39,460.48,0.793321
too,460.49,460.8,0.985406
often(2),460.81,461.17,0.871695
portrayed,461.18,461.71,1.0001
as,461.72,461.99,0.625656
chasm,462.22,463.25,0.738352
ring,463.26,463.57,0.412053
pleasures,463.58,464.13,0.509983
of,464.14,464.25,0.62622
meat,464.26,464.78,0.184557
on,464.9,465.05,0.929407
the,465.06,465.13,0.980392
landscape,465.14,465.85,0.547184
not,467.58,468.12,0.664814
bigger,468.84,469.2,0.176877
of,469.21,469.28,0.056998
course,469.29,469.52,0.074482
can(2),469.53,469.67,0.109377
be,469.68,469.8,0.303086
surly,469.81,470.5,0.770874
and(2),470.51,470.68,0.507541
they,470.69,470.78,0.452353
can(2),470.79,470.97,0.332696
be,470.98,471.1,0.388249
territorial,471.11,471.88,0.531064
you,471.89,472.04,0.965215
do,472.05,472.2,0.837009
not,472.21,472.61,0.992428
want(2),472.62,472.75,0.511208
to(3),472.76,472.84,0.875627
mess,472.85,473.09,0.986885
with,473.1,473.23,0.793004
it,473.24,473.39,0.007939
at,473.4,473.51,0.001897
all,473.52,473.82,0.098513
or,474.07,474.32,0.360588
rhino,474.33,474.9,0.875364
or,475.19,475.43,0.395934
water,475.44,475.66,0.9997
buffalo,475.67,476.39,0.996306
that(2),476.85,476.99,0.379723
by,477,477.28,0.547458
saying,477.29,477.57,0.421684
the(2),477.58,477.77,0.284692
yellowstone,477.78,478.41,0.910455
injure,478.46,478.76,0.061988
far,478.77,479.3,0.154167
more,479.31,479.54,0.998701
people,479.55,479.91,1.0001
than(2),479.92,480.09,0.557793
to,480.1,480.24,0.715883
the,480.25,480.32,0.732248
grizzly,480.33,480.74,0.899234
bears,480.75,481.26,0.95561
so,481.8,481.98,0.963383
can(2),481.99,482.19,0.531648
you,482.2,482.37,1.0001
imagine,482.38,483.01,1
up,483.53,483.91,0.34379
in,483.92,484.01,0.065749
a(2),484.02,484.23,0.120785
poll,484.24,484.8,0.717029
sixty,484.81,485.44,0.962516
five,485.45,485.77,0.9997
hundred(2),485.83,486.28,0.572087
not,486.29,486.52,0.75803
as(2),486.53,486.79,0.44242
in,487.03,487.19,0.910819
the,487.2,487.28,0.910273
preseason,487.29,488.26,0.701004
defending,488.62,489.11,0.585516
the,489.12,489.19,0.851787
territory,489.2,489.93,0.969666
that,491.04,491.21,0.381894
animal,491.22,491.6,0.509015
would've,491.61,491.84,0.703533
been,491.85,492.02,0.415571
incredibly,492.03,492.76,1.0005
dangerous,492.77,493.24,1.0004
and,493.25,493.46,0.676552
mess,493.47,493.97,0.047914
lol,493.98,494.26,0.029549
around(2),494.27,494.65,0.666146
itself,494.66,495.45,0.759244
we've,496.24,496.44,0.304331
had,496.45,496.65,0.873702
nothing,496.66,497.22,1
to(3),497.23,497.36,0.490572
fear,497.37,497.87,0.687328
and(2),498.56,498.69,0.665613
less,498.7,498.87,0.028811
than(2),498.88,499.02,0.476596
a(2),499.03,499.16,0.803141
huge(2),499.17,499.44,0.247719
red,499.45,499.69,0.430763
not,499.7,499.97,0.039216
it's,499.98,500.41,0.104888
worth,500.45,500.71,0.705294
the(2),500.81,500.89,0.922554
years(2),500.9,501.4,0.94421
not,501.89,502.12,0.392269
fact,502.13,502.41,0.003546
that,504.09,504.24,0.090566
is,504.25,504.31,0.000927
gross,504.32,504.53,0.010882
so,504.54,504.66,0.835671
large,504.67,504.94,0.997104
that,504.95,505.17,0.001696
i'm(2),505.18,505.28,0.000919
like,505.29,505.5,0.001522
to(2),505.51,505.59,0.113002
read,505.6,505.73,0.293158
an(2),505.74,505.8,0.006893
honest,505.81,506.13,0.014818
with,506.14,506.39,0.70706
hats,506.4,506.91,0.002787
with,506.92,507.13,0.018823
them(2),507.14,507.49,0.191323
model,507.5,507.94,0.176753
of,507.95,508.05,0.998102
efficiency,508.06,508.76,0.998201
that,509.03,509.23,0.444105
long,509.24,509.6,0.967051
neck,509.61,509.83,0.038194
and,509.84,509.95,0.034677
long,509.96,510.24,0.886199
tail,510.25,510.58,0.744432
how,510.59,510.76,0.370643
they,510.77,510.91,0.056358
radiate(2),510.92,511.52,0.000735
heat,511.53,511.79,0.358288
into(2),511.8,512.04,0.635812
the(2),512.05,512.18,0.997902
environment,512.19,512.74,0.9991
passively,512.84,513.44,0.046118
controlling,513.45,514.02,0.928292
its,514.03,514.22,0.63868
temperature,514.23,514.77,0.503697
an,515.41,515.56,0.008762
hour(2),515.57,515.68,0.005936
long,515.69,515.95,0.674728
that,515.96,516.18,0.629737
also,516.19,516.45,0.936779
serves,516.46,516.74,0.436269
as(2),516.75,516.87,0.621291
a,516.88,516.92,0.7116
super,516.93,517.45,0.9989
efficient,517.46,517.95,0.9997
the(2),517.96,518.44,0.952461
mechanism,518.45,518.98,0.928757
for(2),518.99,519.09,0.410778
a,519.1,519.15,0.197072
novice,519.16,519.43,0.063869
to(3),519.44,519.56,0.169059
stand,519.57,519.9,0.480617
on,519.91,519.96,0.320962
one,519.97,520.14,0.827851
place,520.15,520.47,0.973748
without(2),520.48,520.77,0.242983
that,520.78,521.13,0.379951
clear,521.48,521.72,0.0277
out,521.73,521.82,0.037307
a,521.83,521.88,0.100443
huge,521.89,522.48,0.9993
envelope,522.49,522.91,0.767029
of,522.92,523.03,0.561375
vegetation,523.04,523.72,0.353836
taken,524.09,524.36,0.114229
in,524.37,524.49,0.05339
tens,524.5,524.89,0.110753
of,524.9,525.01,0.86891
thousands(2),525.02,525.45,0.628667
of,525.46,525.54,1
calories,525.55,526.08,0.740718
while,526.09,526.3,0.704941
expanding,526.31,526.84,0.616834
very,526.85,527.09,0.824051
few,527.1,527.45,1.0001
i,528.68,528.75,0.515212
use(2),528.76,528.94,0.032788
animals,528.95,529.36,0.056623
about,529.37,529.77,0.029452
the,529.78,529.9,0.335872
bulldog,530.26,530.81,0.32513
like,530.82,531.06,0.979608
why(2),531.07,531.34,0.552297
did,531.35,531.59,0.704096
it,531.6,531.69,0.254143
stands,531.7,532.35,0.987379
the(2),533.02,533.09,0.419412
minimum,533.1,533.6,0.838853
and(2),533.61,533.73,0.625156
stability,533.74,534.47,0.701916
because(2),535.66,535.97,0.412878
when(3),535.98,536.09,0.333628
you're,536.1,536.21,0.874139
sixty,536.22,536.59,0.9993
five,536.6,536.88,1.0002
times,536.89,537.2,1.0002
when(4),537.21,537.32,0.498336
you're,537.33,537.45,0.724816
literally,537.46,537.93,0.936217
is,537.94,538.09,0.871433
that(2),538.1,538.29,0.378283
is,538.3,538.4,0.7302
a,538.41,538.43,0.140658
house,538.44,538.97,0.9994
the,539.74,539.81,0.478411
penalty,539.82,540.36,0.984913
for(2),540.37,540.51,0.779402
falling,540.52,540.92,0.966568
over,540.93,541.33,0.9998
his,541.94,542.14,0.61671
death,542.15,542.7,0.693751
yet,543.73,543.91,0.187666
examples,543.92,544.4,0.833167
of,544.41,544.49,0.893139
the,544.5,544.74,0.928014
top,544.78,545.02,0.422274
but,545.03,545.16,0.135277
they're,545.17,545.29,0.816586
not,545.3,545.47,0.994614
gonna,545.48,545.63,0.345721
take,545.64,545.83,0.376358
a,545.84,545.91,0.723657
bow(2),545.92,546.23,0.034068
like,546.24,546.43,0.932759
that,546.44,546.74,0.921632
thread,546.75,547.01,0.199112
on(2),547.02,547.16,0.106847
us,547.17,547.3,0.19971
cause(2),547.31,547.57,0.493574
over,547.58,547.92,0.815362
ribs,548.35,548.68,0.011724
break,548.69,548.99,0.050821
and,549,549.17,0.453304
your(2),549.18,549.37,0.813
songs,549.38,549.88,0.493032
or(2),549.89,549.93,0.014851
four,550.02,550.23,0.22021
days,550.24,550.56,0.47294
bursts,550.57,551.25,0.058793
dirt,551.57,551.92,0.04981
and,551.93,552.03,0.818139
sixty,552.04,552.36,0.994316
five,552.37,552.65,0.9993
hundred,552.66,553.08,0.998601
knots,553.09,553.45,0.20344
you'll,553.46,553.69,0.375569
get(2),553.7,553.87,0.304971
the,553.88,553.94,0.571115
foster,553.95,554.32,0.563625
on,554.33,554.45,0.116292
in,554.46,554.54,0.157361
life,554.55,554.79,0.604316
even,554.8,555.12,1.0001
wants,555.13,555.66,0.377791
dr(2),557.73,558.08,0.043254
this,558.09,558.28,0.445529
particular,558.29,558.88,0.998801
thread,559.08,559.32,0.510238
on(2),559.33,559.47,0.165297
us,559.48,559.58,0.074653
carcass,559.59,560.03,0.008678
was(2),560.04,560.22,0.215741
buried,560.23,560.77,0.189836
and(2),561.23,561.44,0.446331
the(2),561.45,561.54,0.891711
flash,561.55,561.98,0.750937
by,561.99,562.23,0.900494
a,562.24,562.27,0.488565
multitude,562.28,562.88,0.74057
of,562.89,562.96,0.997802
bacteria,562.97,564.03,0.9997
worms,564.38,564.83,0.041309
in,564.84,564.92,0.436051
the(2),564.93,565.09,0.41607
sex,565.1,565.6,0.358826
it's,565.99,566.1,0.620174
bones,566.11,566.5,0.053862
and,566.51,566.66,0.087337
when,566.67,566.82,0.052954
everything,566.83,567.29,0.02271
man,567.3,567.44,0.003525
i'm(2),567.45,567.55,0.748238
work,567.56,567.71,0.491014
this,567.72,567.89,0.897976
is,567.9,568.04,0.922646
exchanging,568.05,568.74,0.125113
molecules,568.75,569.41,0.991932
of,569.42,569.5,0.383195
the,569.51,569.56,0.932573
ground,569.57,569.9,0.637404
water,569.91,570.1,0.566507
and,570.11,570.2,0.391994
becoming,570.21,570.59,0.991535
more,570.6,570.87,0.999
and,570.88,570.96,0.909181
more,570.97,571.15,0.999
like,571.16,571.36,0.901485
the(2),571.37,571.5,0.284294
intro,571.51,571.88,0.01455
mean,571.89,572.1,0.036616
rock,572.11,572.55,0.617451
as,573.48,573.66,0.245106
liar,573.67,574.12,0.237339
liar,574.18,574.44,0.539414
liar,574.45,574.72,0.987774
and,574.73,574.82,0.881249
seven,574.83,575.17,0.999
accumulated,575.18,575.9,0.9991
pressure,575.91,576.2,0.994415
from,576.21,576.41,0.9994
all,576.42,576.57,0.9989
sides,576.58,576.99,0.9996
weight,577,577.28,0.04493
in,577.29,577.45,0.26846
my,577.46,577.58,0.442244
testimony,577.59,578.29,0.397362
glob,578.3,578.7,0.003681
foods,578.71,579.03,0.009083
permanent,579.04,579.66,0.058905
doing,579.67,580.04,0.275781
great,580.05,580.44,0.579052
how,581.08,581.23,0.047125
the(2),581.24,581.36,0.805957
cheekbone,581.37,581.86,0.003961
stabilizing,582.6,583.63,0.510595
brace,583.64,584.23,0.975892
and(2),585.74,585.86,0.696044
then,585.87,586.01,0.185928
came,586.02,586.31,0.5995
along,586.32,586.92,0.971025
nothing,588.08,588.54,0.35028
and(2),589.89,590.04,0.613266
i,590.05,590.07,0.02354
got,590.08,590.44,0.122586
better,590.61,591.1,0.24124
at,591.11,591.25,0.107888
top(2),591.26,591.65,0.005282
of,591.96,592.09,0.248264
saying,592.1,592.6,0.204439
it's,592.61,593.01,0.378018
not,593.24,593.6,0.994316
advance,593.61,594,0.296075
without(2),594.01,594.35,0.635748
number,594.36,594.89,0.869779
all,595.51,595.81,0.620298
the,595.82,595.89,0.152389
while,595.9,596.26,0.865873
the,596.27,596.35,0.930802
skeleton,596.36,596.95,0.958865
light,596.96,597.35,0.050831
everlasting,597.36,598.04,0.998601
the,598.05,598.22,0.18083
unchanging,598.31,599.06,0.106303
a(2),599.07,599.23,0.170724
perfect(2),599.24,599.96,0.869866
equilibrium,599.97,600.8,1.0001
within,601.37,601.62,0.261203
its,601.63,601.78,0.165446
rocky,601.79,602.12,0.310387
grave,602.13,602.74,0.127054
meanwhile,604.03,604.44,0.98649
earth,604.45,604.65,0.009724
history,604.66,605.06,0.996605
and,605.07,605.22,0.375644
thought,605.23,605.56,0.649632
about,605.57,605.94,0.759092
the,605.95,606.14,0.936498
dinosaurs,606.15,606.76,0.998102
were,606.77,606.87,0.857257
great,606.88,607.27,0.764425
for(2),607.28,607.43,0.706141
nother,607.44,607.69,0.022163
twelve,607.7,608.11,0.688773
million,608.12,608.42,0.934253
years,608.43,608.66,0.787472
ago,608.67,608.77,0.557514
for(2),608.78,608.94,0.322894
their,608.95,609.11,0.640279
head,609.12,609.3,0.152725
to(2),609.31,609.4,0.377489
money,609.41,609.71,0.991733
was(2),609.72,610.11,0.997902
not,610.15,610.37,0.85503
now,610.38,610.8,0.378927
the,611.22,611.32,0.226939
fiery,611.33,611.87,0.131108
apocalypse,611.88,612.74,0.998701
the,612.75,613.69,0.301936
comments,613.7,614.28,0.33715
that(2),614.29,614.55,0.475073
good(2),614.56,614.92,0.236108
amount,614.93,615.29,0.933879
all,615.3,615.41,0.001862
zeros,615.42,616.05,0.113511
the(2),616.06,616.42,0.925049
ice,616.43,616.62,0.952557
age,616.63,616.83,0.968503
again(2),616.84,617.38,0.260083
and(2),618.7,618.84,0.69389
then,618.85,618.99,0.80499
in,619,619.26,0.073498
east,619.27,619.54,0.570202
africa(3),619.55,620.17,0.801376
and(2),620.89,621.12,0.503496
on,621.18,621.41,0.14728
promising,621.42,622.07,0.92025
species,622.08,622.63,0.998801
of,622.64,622.75,0.884959
ape,622.76,623.03,0.00007
about,624.15,624.47,0.520703
the(2),624.48,624.61,0.976869
i,624.62,624.65,0.007024
pod,624.66,625,0.008482
for(2),625.01,625.3,0.880545
second,625.36,626,0.074378
thought,626.01,626.47,0.633717
these,627.81,627.98,0.064209
great,627.99,628.35,0.281352
primates,628.36,628.84,0.721273
were,628.85,628.96,0.33813
not,628.97,629.25,0.90682
particularly(2),629.26,629.97,1
fast,629.98,630.38,0.676011
for,630.39,630.71,0.358216
strong,630.72,631.18,0.742498
but,632.01,632.16,0.932853
it's,632.17,632.55,0.696462
seller,632.56,632.89,0.175012
covering,632.9,633.39,0.794671
ground,633.4,633.87,0.254703
and(2),634.26,634.42,0.624094
in,634.43,634.55,0.219155
a,634.56,634.59,0.22626
remarkable,634.6,635.35,0.522738
diaspora,635.36,636.06,0.9996
surpassing,636.07,636.69,0.963961
even,636.7,636.88,0.367837
the,636.89,636.97,0.839272
dinosaurs,636.98,637.71,0.991138
record(2),637.72,638.04,0.994117
of,638.05,638.14,0.809754
territorial,638.15,638.75,0.525411
conquest,638.76,639.29,0.613082
they,639.3,639.38,0.210224
dispersed,639.39,640.06,0.380217
across,640.07,640.42,1.0001
the,640.43,640.51,0.861727
planet,640.52,640.9,0.925141
ravishing,641.32,642.07,0.157078
every(2),642.29,642.62,0.718896
ecosystem,642.63,643.22,1.0005
they,643.23,643.37,0.597704
encountered,643.38,643.99,0.484768
along,644.55,644.84,0.804105
the,644.85,644.91,0.913465
way,644.92,645.24,0.918503
inventing,645.25,645.7,0.006867
culture,645.71,646.2,0.99551
and,646.21,646.38,0.543584
now,646.39,646.58,0.636703
working,646.59,646.92,0.979706
in,646.93,647.04,0.56662
haiti,647.1,647.45,0.496297
and(2),647.46,647.62,0.204583
dance,647.63,647.98,0.317895
and,647.99,648.15,0.330275
music,648.16,648.73,0.968503
and,649.84,649.97,0.524046
science,649.98,650.75,1.0001
and(2),651.77,652.01,0.471052
rocket,652.02,652.59,0.3845
ships,652.6,652.97,0.375644
that(2),652.98,653.08,0.629926
would,653.09,653.22,0.994813
eventually(2),653.23,653.68,0.899234
take,653.69,654.02,0.9992
twelve,654.03,654.37,0.882926
particularly(2),654.38,655.32,0.9995
excellent,655.51,656,0.132346
dates,656.01,656.37,0.012082
to(3),656.38,656.49,0.335469
the,656.5,656.6,0.97365
surface,656.61,657.1,0.155748
of,657.11,657.17,0.078796
the,657.18,657.24,0.008139
moon,657.25,657.65,0.003694
with(2),660.92,661.11,0.388637
seven,661.12,661.62,0.928942
billion,661.63,662.06,0.614248
have,662.14,662.45,0.431884
it,662.46,662.58,0.021103
at,662.59,662.8,0.245843
home,662.81,663,0.384923
with(2),663.01,663.11,0.363521
sapiens,663.12,663.6,0.013035
on(2),663.61,663.72,0.299141
the,663.73,663.79,0.273912
planet,663.8,664.34,0.187966
it,665.34,665.4,0.244445
was(2),665.41,665.51,0.624781
perhaps,665.52,665.91,0.999
inevitable,665.92,666.48,0.999
that(2),666.49,666.62,0.687534
one(2),666.63,666.98,0.246113
of,666.99,667.07,0.256697
them(2),667.08,667.29,0.166842
would,667.51,667.65,0.648463
eventually(2),667.66,668.09,0.07039
trod,668.1,668.58,0.011169
on,668.59,668.69,0.091284
the,668.7,668.75,0.754928
grave,668.76,669.14,0.347489
of,669.15,669.2,0.136828
the,669.21,669.26,0.117967
magnificent,669.27,670.08,0.999
hiking,670.09,670.52,0.009456
very,670.53,670.73,0.244592
the(2),670.74,670.96,0.467391
the,670.97,671.07,0.207716
badlands,671.08,671.79,0.272682
of,671.8,671.87,0.966858
southern,671.88,672.26,0.250259
patagonia,672.27,672.96,0.905551
i,674.67,674.76,0.991535
was,674.77,675.02,0.534153
that,675.03,675.21,0.915019
it,675.22,675.5,0.369164
and,677.08,677.18,0.549048
standing,677.19,677.67,0.351614
there,677.68,677.92,0.45988
alone,678.94,679.31,0.200631
in,679.32,679.41,0.452037
the,679.42,679.48,0.979706
desert,679.49,679.91,0.994713
was(2),680.56,680.75,0.916118
not,680.76,681.01,0.9998
lost,681.02,681.38,0.998401
on(2),681.39,681.49,0.580908
me,681.5,681.68,0.378927
that(2),681.69,681.85,0.372576
that(2),681.86,682,0.156154
chance,682.01,682.49,0.997004
of,682.5,682.67,0.992527
any,682.81,683.05,0.378586
one(2),683.06,683.39,0.344754
individual,683.4,684.04,0.9993
country,684.05,684.43,0.676282
the,684.44,684.5,0.170179
fossil,684.51,684.89,0.40608
record(2),684.9,685.23,0.996904
is,685.24,685.5,0.886553
that,685.51,685.81,0.9427
mission,685.82,686.19,0.04438
the(2),686.2,686.29,0.610085
small,686.3,686.77,0.997802
but,688.05,688.15,0.30245
the(2),688.16,688.31,0.803301
earth,688.32,688.7,0.981373
is,688.86,688.98,0.977064
very,688.99,689.21,0.9992
very,689.22,689.46,0.9992
old,689.47,689.8,0.9992
and(2),690.14,690.28,0.505969
over,690.29,690.45,0.996805
vast,690.46,690.95,0.499683
tracts,690.96,691.27,0.959057
of,691.28,691.39,0.952747
time,691.4,691.81,0.933506
the(2),692.13,692.46,0.759016
improbable,692.47,693.14,0.814058
because(3),693.15,693.76,0.783936
the,693.77,693.86,0.857257
probable,693.87,694.43,0.139355
that's,694.44,694.82,0.406812
the,694.83,694.9,0.910637
magic,694.91,695.48,0.998801
of,695.49,695.59,0.614309
the,695.6,695.68,0.956949
geological,695.69,696.3,0.9991
record(2),696.31,696.7,0.997802
does,697.12,697.34,0.191438
the(2),697.35,697.47,0.356287
multitude,697.48,697.96,0.627599
his,697.97,698.16,0.010104
creatures,698.17,698.57,0.997702
living,698.58,698.98,0.985406
and,698.99,699.13,0.235942
